Date,ret,vol,state,prob_S1,prob_S2,prob_S3,prob_S4,prob_S5,date_num
2015-03-20,-0.012628396747988102,0.014517397333792372,3,1.14577874825903e-10,4.7337828308603873e-05,0.001004888576786357,0.9989474468185999,3.2666175266248315e-07,43
2015-03-23,0.010351216073978264,0.014865586489550405,3,2.689846774016594e-10,5.16848295097524e-05,0.0007552806156312583,0.9991927893063666,2.4497949423481493e-07,44
2015-03-24,-0.004096088081203764,0.013075126186677652,3,8.341876890304287e-08,2.1508028852818804e-05,0.017955315130689473,0.9820226040996449,4.893218404393898e-07,45
2015-03-25,-0.026473817576798897,0.014615305974867019,3,5.905281006694628e-12,9.666198476722171e-05,0.0015609278897270366,0.9983415310992391,8.790204798821879e-07,46
2015-03-26,0.006946047304379643,0.013572834924645309,3,2.7198283339496844e-08,2.587678616014027e-05,0.009277337407543098,0.9906963915637136,3.670443864206329e-07,47
2015-03-27,-0.008000357360482102,0.013635898965727552,3,8.420380427877498e-09,2.8316859832183756e-05,0.008531310975090502,0.9914399824055493,3.8133903107831834e-07,48
2015-03-30,0.02499938535942281,0.015515670444215141,3,5.687078344170973e-13,0.00013931423340700206,2.7326997125240644e-05,0.9998328195620182,5.392067844332703e-07,49
2015-03-31,-0.015470960898412489,0.015277007483984856,3,2.1139643470380897e-12,8.712255759474625e-05,0.00010342988526262304,0.999809083711731,3.6384345606016554e-07,50
2015-04-01,-0.0014475044142656657,0.01456335977768564,3,2.881017083793731e-10,4.014287761732492e-05,0.0006811497495092543,0.9992784723411292,2.3474367943147295e-07,51
2015-04-02,0.00857451022668787,0.014932118193666513,3,6.263860946151488e-11,5.270040225243142e-05,0.00022232486250760574,0.9997247411713274,2.335011305609871e-07,52
2015-04-06,0.016068759161505852,0.015355315258761985,3,4.605771380341435e-12,8.398472145732249e-05,4.6326985915829056e-05,0.9998693880528349,3.002350487686427e-07,53
2015-04-07,-0.010577915684517603,0.01538738957959218,3,7.322489517466485e-12,8.132421061177396e-05,0.00015889378010235198,0.9997595080089874,2.739927738814296e-07,54
2015-04-08,-0.003258913381198436,0.015370625860244826,3,1.0829968803307854e-09,9.170946099955721e-05,0.008193992829885132,0.9917142511740162,4.545192985898796e-08,55
