Date,AAPL
2015-09-29,24.484834671020508
2015-09-30,24.763227462768555
2015-10-01,24.601585388183594
2015-10-02,24.781187057495117
2015-10-05,24.87098503112793
2015-10-06,24.989978790283203
2015-10-07,24.87098503112793
2015-10-08,24.583621978759766
2015-10-09,25.17182731628418
2015-10-12,25.05508804321289
2015-10-13,25.097740173339844
2015-10-14,24.743017196655273
2015-10-15,25.113460540771484
2015-10-16,24.929359436035156
2015-10-19,25.084278106689453
2015-10-20,25.542266845703125
2015-10-21,25.540023803710938
2015-10-22,25.930662155151367
2015-10-23,26.734403610229492
2015-10-26,25.881271362304688
2015-10-27,25.71738624572754
2015-10-28,26.777061462402344
2015-10-29,27.059940338134766
2015-10-30,26.82869529724121
2015-11-02,27.205873489379883
2015-11-03,27.517932891845703
