Date,ret
2015-09-02,0.0419942949686507
2015-09-03,-0.017691523094005124
2015-09-04,-0.010016592006307778
2015-09-08,0.027440821449192132
2015-09-09,-0.01941947564926405
2015-09-10,0.02173244295994392
2015-09-11,0.014463294940246119
2015-09-14,0.009585332768531796
2015-09-15,0.008376950876592293
2015-09-16,0.0011173019487773495
2015-09-17,-0.021622073586329282
2015-09-18,-0.00413422196305735
2015-09-21,0.015394046746506351
2015-09-22,-0.015834466632560495
2015-09-23,0.008079748786421703
2015-09-24,0.005930696559588888
2015-09-25,-0.0025248518947647014
2015-09-28,-0.0199874979207193
2015-09-29,-0.03052139869135262
2015-09-30,0.011305777540309148
2015-10-01,-0.006549366326232153
2015-10-02,0.007274125083867489
2015-10-05,0.0036173926408098467
2015-10-06,0.004772725856298621
